FY,DEPARTMENT_NAME,PROGRAM_NAME,ACTIVITY_NAME,PROGRAM_OBJECTIVE,ACTIVITY_OBJECTIVE,ACTIVITY_DESCRIPTION,CORE_SERVICES,SEMICORE_SERVICES,OTHER_SERVICES,CONTACT_INFO,MEASURE_NAME,MEASURE_DESCRIPTION,KEY_PERFORMANCE,DASHBOARD_IND,LEVEL_NAME,MEASURE_TYPE_NAME,CURRENT_YR_PROJECTION,PRIOR_YR1_PROJECTION,PRIOR_YR1_ACTUAL,PRIOR_YR2_ACTUAL,PRIOR_YR3_ACTUAL,PRIOR_YR4_ACTUAL,FREQUENCY_NAME,OCT_CURRENT_YR,NOV_CURRENT_YR,DEC_CURRENT_YR,JAN_CURRENT_YR,FEB_CURRENT_YR,MAR_CURRENT_YR,APR_CURRENT_YR,MAY_CURRENT_YR,JUN_CURRENT_YR,JUL_CURRENT_YR,AUG_CURRENT_YR,SEP_CURRENT_YR,QTR1_CURRENT_YR,QTR2_CURRENT_YR,QTR3_CURRENT_YR,QTR4_CURRENT_YR
2021,POLIC,Neighborhood-Based Policing,Traffic Enforcement,"The purpose of the Neighborhood Policing program is to provide immediate police service, criminal investigations, and collaborative problem solving initiatives to the community so the community can feel safe and be safe.","The purpose of the Traffic Enforcement activity is to investigate crashes, analyze collisions, target enforcement efforts and coordinate with multiple agencies in responding to traffic management in order to improve traffic safety.","Traffic is a core activity. The activity is mandated by Chapter 543 of the Transportation Code. The traffic activity is a combination of resources and performance measures that were previously found within the Neighborhood Policing Program, First Response Activity and the Investigations Program, Special Operations Activity. Locating the resources and measures within a single activity will help the department gauge progress on the related goal.",Crash investigation; Crash reconstruction; Collision analysis; Coordination of enforcement efforts; Coordination of multiple agency efforts,,,"Eric Miesse, Highway Enforcement Commander, 512-974-8210",Number of DWI arrests,DWI Arrests,No,No,Operational,Output,4470,4577,3433,4470,4577,5361,Monthly,315,308,301,345,0,0,0,0,0,0,0,0,,,,
2021,FIRE,Support Services,Departmental Support Services,The purpose of the Support Services provides managerial and administrative support to the department.,"The purpose of Departmental Support Services is to effectively and collaboratively provide administrative and managerial support to the department in order to equitably, ethically and innovatively provide services.",Departmental Support Services provides all Fire Department divisions with administrative support required to carry out the department's mission.,Office of the Director; Strategic and business planning; Budget development; Financial monitoring; Labor-management relations; Collective bargaining contract administration; Business technology support; Facilities planning; Warehouse services; Human resources; Payroll; Purchasing; Cadet employment processing; Planning and research.,,,"Ronnelle Paulsen, Assistant Director, 512-974-5315",Percent of sworn positions fully staffed,"Measures the ability of the Department to maintain staffing levels of sworn positions.  Keeping sworn positions fully staffed will aid in minimizing overtime costs.  The ability to maintain staffing levels is affected by the pace of employee retirements and resignations; the scheduling of recruiting, hiring, and cadet training; and the allocation of uniformed personnel between operations and staff positions.",Yes,No,Operational,Efficiency,96,96,93,94.5,91,87.2,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,92.8,,,
2021,FIRE,Operations Support,"Air, Equipment and Vehicle Support","Operations Support exists to prevent and reduce the occurrence of personal injury through maintenance and testing of rescue tools and to provide new employee training, continuing education, and staff development for the Austin Fire Department in order to produce and maintain competent field and communications personnel.","The purpose of Air, Equipment, and Vehicle Support to provide quality breathing air systems, to procure and test rescue tools, fire hose, and other equipment; to provide equipment maintenance and support, and to serve as liaison with Fleet Services so that AFD firefighters can perform safe and effective emergency operations during fires, rescues, hazardous materials incidents, and training activities.","Air, Equipment, and Vehicle Support is a core service of the Austin Fire Department, mandated by the Texas Commission on Fire Protection thorugh adoption NFPA standards 1981,1852, 1982, and 1989.  The divsion was formed in the early 1980s to to provide a continual, ready, and reliable supply of self-contained breathing apparatus (SCBA) to firefighters during fire suppression operations, rescue incidents, and training activities and to ensure that all fire apparatus, support vehicles, and associated equipment were repaired, maintained, and returned to service in a timely manner with minimum downtime.  .","Emergency scene breathing air supply and support; Breathing air equipment repair and certification; Breathing air safety compliance; Liaison with Fleet for apparatus repair and preventive maintenance; Fire apparatus/equipment specification and procurement; Apparatus performance certifications; Fire equipment maintenance, supply, and distribution; Rescue tool repair and maintenance; Fire hose, nozzle, and appliance maintenance and testing",Maintenance support for air systems used by other City departments; Repair and maintenance of gas-powered lawn equipment.,,"Larry Jantzen, Assistant Chief, 512-974-0130",Number of airpack failures during emergency incidents per 100 airpacks,"Measures potential threat to life and safety during emergency incidents resulting from defective air pack equipment.  This measure does not include failures based on operator error, but instead concentrates on equipment failures that routine inspections and maintenance are intended to prevent.",No,No,Operational,Result,0,0,0,0,0,0,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021,MCRT,Downtown Austin Community Court,Rehabilitation Services,"The purpose of the Downtown Austin Community Court program is to provide creative and individualized sentencing options to offenders so that they are held accountable for their actions, reduce their recidivism rate, restore the debt they owe to the community as a result of their offenses, and to provide supportive services to assist them with modifying their offending behavior.","The purpose of Rehabilitation Services is to assess and connect offenders to substance abuse treatment, transitional and permanent housing, mental health services, medical services, employment training and other support services that will reduce criminal involvement, reduce the burden on publicly funded systems, promote life changing behavior and assist with the achievement of permanent and long-term stability.","The activity is core having an immediate or near term effect on public safety. Under Texas Government Code, Chapter 30 and as per City Ordinance # 990729-49 and Chapter 2-10, Article IV of the City Code the DACC has general jurisdiction to adjudicate Penal Code Class C misdemeanor offenses and public order violations to the City Code. Rehabilitation Services provide access to inpatient treatment, sober transitional living, and case management (i.e. assessment, referral, and case monitoring) at DACC, for defendants of the Community Court. Intensive case management support is provided to defendants who are frequent court offenders and are assigned to work with a Targeted Case Manager.","Individualized assessments of needs for offenders requiring access to a continuum of rehabilitative options, including but not limited to: substance abuse treatment, mental health support and services, physical health support and services, crisis intervention services, job training, transitional and permanent housing assistance, assistance with basic needs, supportive day programs, transportation and a number of additional support services; relationship building with the community and homeless clients through the Homeless Outreach Street Team (HOST), quickly linking clients to services on the streets.",,,"Pete Valdez, Court Administrator, 512-974-4873",Percent of ICM facilitated clients that gained a source of income after applying for income,percent of ICM clients gaining access to a source of income,No,No,Operational,Result,100,50,86.96,31.25,New Meas.,New Meas.,Monthly,50,100,200,0,0,0,0,0,0,0,0,0,,,,
2021,FIRE,Operations Support,"Air, Equipment and Vehicle Support","Operations Support exists to prevent and reduce the occurrence of personal injury through maintenance and testing of rescue tools and to provide new employee training, continuing education, and staff development for the Austin Fire Department in order to produce and maintain competent field and communications personnel.","The purpose of Air, Equipment, and Vehicle Support to provide quality breathing air systems, to procure and test rescue tools, fire hose, and other equipment; to provide equipment maintenance and support, and to serve as liaison with Fleet Services so that AFD firefighters can perform safe and effective emergency operations during fires, rescues, hazardous materials incidents, and training activities.","Air, Equipment, and Vehicle Support is a core service of the Austin Fire Department, mandated by the Texas Commission on Fire Protection thorugh adoption NFPA standards 1981,1852, 1982, and 1989.  The divsion was formed in the early 1980s to to provide a continual, ready, and reliable supply of self-contained breathing apparatus (SCBA) to firefighters during fire suppression operations, rescue incidents, and training activities and to ensure that all fire apparatus, support vehicles, and associated equipment were repaired, maintained, and returned to service in a timely manner with minimum downtime.  .","Emergency scene breathing air supply and support; Breathing air equipment repair and certification; Breathing air safety compliance; Liaison with Fleet for apparatus repair and preventive maintenance; Fire apparatus/equipment specification and procurement; Apparatus performance certifications; Fire equipment maintenance, supply, and distribution; Rescue tool repair and maintenance; Fire hose, nozzle, and appliance maintenance and testing",Maintenance support for air systems used by other City departments; Repair and maintenance of gas-powered lawn equipment.,,"Larry Jantzen, Assistant Chief, 512-974-0130",Number of AFD airpacks and other breathing systems serviced,The number of AFD air packs and other breathing systems that are serviced by the Air Shop.,No,No,Operational,Output,530,500,570,479,415,595,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,79,,,
2021,WWW,Operations,Pipeline O&M Support,"To provide reliable and sustainable operations, maintenance, and regulatory support for drinking water, wastewater, reclaimed water, and biosolids infrastructure.","The purpose of Pipeline O&M Support is to provide management and administrative support to the Pipeline Operations program's internal and external customers in order to allow program areas to operate, maintain, and repair infrastructure in delivery and transport of potable, reuse, and wastewater.",To enable program needs provided on delivery and collection pipeline.,"Overall asset management, work orders, leak management, safety, conservation, financial management, and employee development policy for the program area; Schedules; Emergency one calls; Right-of-way management permits; Traffic control; Licensing; Records management; Organizational charts; General administrative responsibilities; Customer service; Dispatch of work to field crews.",,,"Rosemary Ybarra, Manager, 512-972-1105",Percent of equipment calibration and preventive maintenance work orders completed to total scheduled,Percent of monthly equipment calibration completed compared to total monthly scheduled calibration.,No,No,Operational,Result,80,80,88.33,93,79.83,64,Monthly,98,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,WWW,Operations,Pipeline O&M Support,"To provide reliable and sustainable operations, maintenance, and regulatory support for drinking water, wastewater, reclaimed water, and biosolids infrastructure.","The purpose of Pipeline O&M Support is to provide management and administrative support to the Pipeline Operations program's internal and external customers in order to allow program areas to operate, maintain, and repair infrastructure in delivery and transport of potable, reuse, and wastewater.",To enable program needs provided on delivery and collection pipeline.,"Overall asset management, work orders, leak management, safety, conservation, financial management, and employee development policy for the program area; Schedules; Emergency one calls; Right-of-way management permits; Traffic control; Licensing; Records management; Organizational charts; General administrative responsibilities; Customer service; Dispatch of work to field crews.",,,"Rosemary Ybarra, Manager, 512-972-1105","Number of I&C and electrical work orders that are in open, scheduled, waiting scheduling status at start of each month","Number of I/C and electrical work orders that are open, scheduled, waiting scheduling status at the start of each month to track monthly backlog of outstanding work orders.",No,No,Operational,Output,400,400,266,249,304,366,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,217,225,,
2021,WSP,Flood Risk Reduction,Flood Safety,"The Flood Risk Reduction program represents one of the department?s core mission areas; reduce the impact of flood hazards to our community?s lives and property. The program includes the Flood Early Warning System (FEWS), dam and floodwall inspection, acquisition of structures in the floodplain, the Regional Stormwater Management Program (RSMP); floodplain modeling, as well as capital project planning, preliminary engineering, design and implementation.","The purpose of the Flood Safety activity is to protect lives, property and the environment by reducing the risks of flooding.",,"We reduce the risk of flooding by completing flood risk reduction infrastructure projects and property acquisitions, managing development activities in the floodplain, providing warning to the public of real-time flood risks, and educating the public about flood risks.",,,"Kevin Shunk, P.E. Managing Engineer, 512-974-9176",Citizen satisfaction with flood control efforts,"Citizen satisfaction with flood control efforts is a key indicator taken from the annual City of Austin Citizen Survey conducted each year. Since 2003, it has been prepared and conducted by sources external to the City of Austin. Generally, a random sample of addresses is selected from utility records and/or listings of city-limit zip codes and used as a representative sample of the general population of the City. Generally, both English and Spanish versions of the survey are developed. Telephone follow-ups have also been conducted to ensure completion of the surveys and to obtain additional information.",No,No,Operational,Result,56,56,0,60,53,No Data,Annually,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,PW,Off-Street Right-of-Way Maintenance,Off-Street R-O-W Maintenance,The objective of the Right-of-Way Maintenance Program is to maintain items within the right-of-way other than pavement and bridges.,The objective of the Off-Street R-O-W Maintenance activity is to improve the maintenance and appearance of citywide off-roadway infrastructure.,"The Off-Roadway Maintenance Activity, formally named Downtown Enhancement Maintenance, has expanded from the core downtown sidewalk cleaning which transferred from the Austin Resource Recovery Department to the Public Works Department in FY10.  In FY11, full responsiblity of right-of-way tree maintainance, landscaping, mobility trail maintenance and other off-roadway maintenance transferred to the Public Works Department from the Parks & Recreation Department.","Tree maintenance; Landscaping in the form of mowing, trimming, and edging; Mobility trail maintenance; Core downtown sidewalk cleaning.",,,"Robert Hinojosa, Assistant Director, (512) 974-7158",Number of trees maintained,"The measure reports the number of trees that were maintained city-wide each fiscal year, which includes work performed by Public Works (PWD) in-house crews, assigned to the Parks and Recreation Department (PARD) and via contract.",No,No,Operational,Result,6800,No Goal,3706,4149,4206,3232,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,1586,,,
2021,FIRE,Emergency Prevention,Engineering and Inspection Services,"Emergency Prevention works to prevent and investigate loss of property and life due to fire by conducting community outreach in fire prevention and wildfire fuel mitigation, ensuring fire code compliance in buildings and venues, investigating arson cases.","The purpose of Engineering and Inspection Services is to ensure fire code compliance so Austin residents and visitors can live, work, and play in fire-safe environments.","Engineering and Inspection Services is charged with enforcing the International Fire Code as adopted by City Charter.  The division ensures the proper installation and maintenance of automatic, manual, and other private fire alarm systems and fire-extinguishing equipment; the maintenance of fire protection and the elimination of fire hazards on land and in buildings, structures and other properties including those under construction; and the maintenance of fire exits.",Inspections/code compliance; Coordination and support of in-service inspections by Operations units; Records management and performance reporting; Development services; Design review and design assistance; Inspections and testing services; Emergency response assistance; Coordination with other city departments for special event fire code and safety compliance,Public education on code requirements; Community relations; Special projects and assignments.,,"Pablo Ruiz, 512-974-0130",Percent of plans that are reviewed on time,"Timeliness of performing plan reviews. Tracks the ability to complete reviews on time.  This measure is affected by the size and number of development cases being reviewed and by other demands on the engineering staff, including but not limited to providing other types of technical assistance to internal and external customers.  Other demands may include assisting inspectors with fire protection system testing, preliminary design meetings, and  enforcing the permitting of and safe use of hazardous materials by businesses within the City of Austin.",No,No,Operational,Result,85,85,82.3,75.2,84.9,91.3,Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,78,,,
