Work Order ID,Description,Status,Work Group,Program,Report Date,Service Address,Completion Date,Duration (hours),Failure Class,Problem,Service Request ID,Work Order Priority,Council District,Fiscal Year,Valid Duration,Meets Standard
18-384486,Debris in Street - large limbs blking lane - 4100 MC NEIL DR,Closed,SBO District North,District Maintenance,10/01/2018 07:00:11 AM,4100 MC NEIL DR,10/01/2018 09:00:00 AM,1.997,Street Surface Assets,Debris in Street,CSR18-00330066,2,7,FY2019,1,1
18-384533,Street & Bridge - General - poison ivy on fence - 8403 MESA DR,Closed,SBO District North,District Maintenance,10/01/2018 08:04:53 AM,4005 1/2 CIMA SERENA,10/01/2018 10:00:00 AM,1.919,ROW Vegetation,Investigate Work Request,CSR18-00330148,2,10,FY2019,1,1
18-384604,Tree Issue ROW - DIVERTING TRAFFIC - 6802 KINGS PT,Closed,SBO Trees,Forestry,10/01/2018 09:07:43 AM,6802 KINGS PT,10/01/2018 10:15:00 AM,1.121,ROW Trees,Investigate Work Request,CSR18-00330270,4,1,FY2019,1,1
18-384665,"Tree Issue ROW - low limbs - CHINA BERRY RD & BIRCH CREEK RD,",Closed,SBO Trees,Forestry,10/01/2018 09:44:46 AM,5609 CHINA BERRY RD,10/09/2018 11:00:00 AM,193.254,ROW Trees,Investigate Work Request,CSR18-00330357,2,2,FY2019,1,0
18-384668,Tree Issue ROW - LOW LIMBS - 2516 SUNNY HILLS DR,Closed,SBO Trees,Forestry,10/01/2018 09:47:54 AM,2516 SUNNY HILLS DR,10/09/2018 11:45:00 AM,193.952,ROW Trees,Investigate Work Request,CSR18-00330366,2,2,FY2019,1,0
18-384670,Tree Issue ROW - LOW LIMBS - 6002 TURTLE DOVE DR,Closed,SBO Trees,Forestry,10/01/2018 09:50:09 AM,6002 TURTLE DOVE DR,10/09/2018 10:15:00 AM,192.414,ROW Trees,Investigate Work Request,CSR18-00330375,2,2,FY2019,1,0
18-384671,Tree Issue ROW - LOW LIMBS - 1817 BITTER CREEK DR,Closed,SBO Trees,Forestry,10/01/2018 09:51:59 AM,1817 BITTER CREEK DR,10/09/2018 11:45:00 AM,193.884,ROW Trees,Investigate Work Request,CSR18-00330379,2,2,FY2019,1,0
18-384672,"Tree Issue ROW - LOW LIMBS - LENDALL LN & DEEP LN,",Closed,SBO Trees,Forestry,10/01/2018 09:58:18 AM,4400 LENDALL LN,10/09/2018 11:30:00 AM,193.528,ROW Trees,Investigate Work Request,CSR18-00330394,2,2,FY2019,1,0
18-384704,Debris in Street/plywood/ 5600 S PLEASANT VALLEY RD,Closed,SBO District South,District Maintenance,10/01/2018 10:19:50 AM,5600 S PLEASANT VALLEY RD,10/01/2018 01:15:17 PM,2.924,Street Surface Assets,Debris in Street,CSR18-00330460,2,2,FY2019,1,1
18-384769,Tree Issue ROW - LOW LIMBS - 5011 AVENUE H,Closed,SBO Trees,Forestry,10/01/2018 11:37:06 AM,5011 AVENUE H,10/05/2018 12:30:00 PM,96.882,ROW Trees,Investigate Work Request,CSR18-00330634,4,9,FY2019,1,0
18-384832,TREE ISSUE - LOW LIMBS - 4500 E OLTORF ST,Closed,SBO Trees,Forestry,10/01/2018 12:04:17 PM,4544 E OLTORF ST,10/23/2018 11:30:00 AM,527.429,ROW Trees,Investigate Work Request,CSR18-00330698,2,3,FY2019,1,0
18-384802,Debris in Street/mattress/ LADERA VISTA DR & MIRAMONTE DR,Closed,SBO District North,District Maintenance,10/01/2018 12:04:23 PM,11303 LADERA VISTA DR,10/01/2018 01:30:00 PM,1.427,Street Surface Assets,Debris in Street,CSR18-00330699,2,10,FY2019,1,1
18-384870,Debris in Street/rocks/ BARTON HILLS DR & AZIE MORTON RD,Closed,SBO District South,District Maintenance,10/01/2018 01:01:34 PM,1123 1/2 BARTON HILLS DR,10/02/2018 08:30:14 AM,19.478,Street Surface Assets,Debris in Street,CSR18-00330825,2,5,FY2019,1,1
